Countries and areas,Latitude ,Longitude,male literacy,female literacy,Birth_Rate,primary-enollment,secondary-enrollment,Unemployment_Rate,literacy
Afghanistan,33.93911,67.709953,74,56,32.49,104,9.7,11.12,65
Albania,41.153332,20.168331,99,100,11.78,107,55,12.33,99.5
Algeria,28.033886,1.659626,98,97,24.28,109.9,51.4,11.7,97.5
Andorra,42.506285,1.521801,0,0,7.2,106.4,0,0,0
Angola,11.202692,17.873887,0,0,40.73,113.5,9.3,6.89,0
Anguilla,18.220554,63.068615,0,0,0,0,0,0,0
Antigua and Barbuda,17.060816,61.796428,0,0,15.33,105,24.8,0,0
Argentina,38.416097,63.616672,99,100,17.02,109.7,90,9.79,99.5
Armenia,40.069099,45.038189,0,0,13.99,92.7,54.6,16.99,0
Australia,25.274398,133.775136,0,0,12.6,100.3,113.1,5.27,0
Austria,47.516231,14.550072,0,0,9.7,103.1,85.1,4.67,0
Azerbaijan,40.143105,47.576927,0,0,14,99.7,27.7,5.51,0
The Bahamas,25.03428,77.39628,0,0,13.97,81.4,15.1,10.36,0
Bahrain,26.0667,50.5577,100,99,13.99,99.4,50.5,0.71,99.5
Bangladesh,23.684994,90.356331,94,96,18.18,116.5,20.6,4.19,95
Barbados,13.193887,59.543198,0,0,10.65,99.4,65.4,10.33,0
Belarus,53.709807,27.953389,100,100,9.9,100.5,87.4,4.59,100
Belgium,50.503887,4.469936,0,0,10.3,103.9,79.7,5.59,0
Belize,17.189877,88.49765,0,0,20.79,111.7,24.7,6.41,0
Benin,9.30769,2.315834,70,52,36.22,122,12.3,2.23,61
Bhutan,27.514162,90.433601,0,0,17.26,100.1,15.6,2.34,0
Bolivia,16.290154,63.588653,0,0,21.75,98.2,0,3.5,0
Bosnia and Herzegovina,43.915886,17.679076,0,0,8.11,0,23.3,18.42,0
Botswana,22.328474,24.684866,0,0,24.82,103.2,24.9,18.19,0
Brazil,14.235004,51.92528,99,99,13.92,115.4,51.3,12.08,99
British Virgin Islands,18.420695,64.639968,0,0,0,0,0,0,0
Brunei,4.535277,114.727669,100,100,14.9,103.2,31.4,9.12,100
Bulgaria,42.733883,25.48583,0,0,8.9,89.3,71,4.34,0
Burkina Faso,12.238333,1.561593,62,55,37.93,96.1,6.5,6.26,58.5
Burundi,3.373056,29.918886,0,0,39.01,121.4,6.1,1.43,0
Cape Verde,16.5388,23.0418,0,0,19.49,104,23.6,12.25,0
Cambodia,12.565679,104.990963,0,0,22.46,107.4,13.7,0.68,0
Cameroon,7.369722,12.354722,88,82,35.39,103.4,12.8,3.38,85
Canada,56.130366,106.346771,0,0,10.1,100.9,68.9,5.56,0
Central African Republic,6.611111,20.939444,48,29,35.35,102,3,3.68,38.5
Chad,15.454166,18.732207,0,0,42.17,86.8,3.3,1.89,0
Chile,35.675147,71.542969,0,0,12.43,101.4,88.5,7.09,0
China,35.86166,104.195397,100,100,10.9,100.2,50.6,4.32,100
Colombia,4.570868,74.297333,99,99,14.88,114.5,55.3,9.71,99
Comoros,11.6455,43.3333,78,78,31.88,99.5,9,4.34,78
Republic of the Congo,0.228021,15.827659,85,79,32.86,106.6,12.7,9.47,82
Cook Islands,21.236736,159.777671,0,0,0,0,0,0,0
Costa Rica,9.748917,83.753428,99,100,13.97,113.3,55.2,11.85,99.5
Ivory Coast,7.539989,5.54708,64,53,35.74,99.8,9.3,3.32,58.5
Croatia,45.1,15.2,0,0,9,96.5,67.9,6.93,0
Cuba,21.521757,77.781167,0,0,10.17,101.9,41.4,1.64,0
Cyprus,35.126413,33.429859,0,0,10.46,99.3,75.9,7.27,0
Czech Republic,49.817492,15.472962,0,0,10.7,100.7,64.1,1.93,0
North Korea,40.339852,127.510093,0,0,13.89,112.8,27,2.74,0
Democratic Republic of the Congo,4.038333,21.758664,0,0,41.18,108,6.6,4.24,0
Denmark,56.26392,9.501785,0,0,10.6,101.3,80.6,4.91,0
Djibouti,11.825138,42.590275,0,0,21.47,75.3,5.3,10.3,0
Dominica,15.414999,61.370976,0,0,12,114.7,7.2,0,0
Dominican Republic,18.735693,70.162651,0,0,19.51,105.7,59.9,5.84,0
Ecuador,1.831239,78.183406,0,0,19.72,103.3,44.9,3.97,0
Egypt,26.820553,30.802498,0,0,26.38,106.3,35.2,10.76,0
El Salvador,13.794185,88.89653,98,98,18.25,94.8,29.4,4.11,98
Equatorial Guinea,1.650801,10.267895,0,0,33.24,61.8,1.9,6.43,0
Eritrea,15.179384,39.782334,94,93,30.3,68.4,3.4,5.14,93.5
Estonia,58.595272,25.013607,0,0,10.9,97.2,69.6,5.11,0
Eswatini,26.522503,31.465866,94,97,0,0,0,0,95.5
Ethiopia,9.145,40.489673,0,0,32.34,101,8.1,2.08,0
Fiji,17.713371,178.065032,0,0,21.28,106.4,16.1,4.1,0
Finland,61.92411,25.748151,0,0,8.6,100.2,88.2,6.59,0
France,46.227638,2.213749,0,0,11.3,102.5,65.6,8.43,0
Gabon,0.803689,11.609444,88,91,31.61,139.9,8.3,20,89.5
The Gambia,13.443182,15.310139,0,0,38.54,98,2.7,9.06,0
Georgia,42.315407,43.356892,0,0,13.47,98.6,63.9,14.4,0
Germany,51.165691,10.451526,0,0,9.5,104,70.2,3.04,0
Ghana,7.946527,1.023194,93,92,29.41,104.8,15.7,4.33,92.5
Greece,39.074208,21.824312,99,99,8.1,99.6,136.6,17.24,99
Grenada,12.1165,61.679,0,0,16.47,106.9,104.6,0,0
Guatemala,15.783471,90.230759,0,0,24.56,101.9,21.8,2.46,0
Guinea,9.945587,9.696645,70,43,36.36,91.5,11.6,4.3,56.5
Guinea0Bissau,11.803749,15.180413,0,0,35.13,118.7,2.6,2.47,0
Guyana,4.860416,58.93018,0,0,19.97,97.8,11.6,11.85,0
Haiti,18.971187,72.285215,0,0,24.35,113.6,1.1,13.78,0
Vatican City,41.902916,12.453389,0,0,0,0,0,0,0
Honduras,15.199999,86.241905,95,98,21.6,91.5,26.2,5.39,96.5
Hungary,47.162494,19.503304,0,0,9.6,100.8,48.5,3.4,0
Iceland,64.963051,19.020835,0,0,12,100.4,71.8,2.84,0
India,20.593684,78.96288,93,90,17.86,113,28.1,5.36,91.5
Indonesia,0.789275,113.921327,100,100,18.07,106.4,36.3,4.69,100
Iran,32.427908,53.688046,0,0,18.78,110.7,68.1,11.38,0
Iraq,33.223191,43.679291,0,0,29.08,108.7,16.2,12.82,0
Republic of Ireland,53.41291,8.24389,0,0,12.5,100.9,77.8,4.93,0
Israel,31.046051,34.851612,0,0,20.8,104.9,63.4,3.86,0
Italy,41.87194,12.56738,100,100,7.3,101.9,61.9,9.89,100
Jamaica,18.109581,77.297508,0,0,16.1,91,27.1,8,0
Japan,36.204824,138.252924,0,0,7.4,98.8,63.2,2.29,0
Jordan,31.302848,36.786839,99,99,21.98,81.5,34.4,14.72,99
Kazakhstan,48.019573,66.923684,100,100,21.77,104.4,61.7,4.59,100
Kenya,0.023559,37.906193,88,88,28.75,103.2,11.5,2.64,88
Kiribati,1.8368976,157.3768317,0,0,27.89,101.3,0,0,0
Kuwait,29.31166,47.481766,99,100,13.94,92.4,54.4,2.18,99.5
Kyrgyzstan,41.20438,74.766098,100,100,27.1,107.6,41.3,6.33,100
Laos,19.85627,102.495496,0,0,23.55,102.4,15,0.63,0
Latvia,56.879635,24.603189,100,100,10,99.4,88.1,6.52,100
Lebanon,33.854721,35.862285,100,100,17.55,95.1,26.3,6.23,100
Lesotho,29.609988,28.233608,0,0,26.81,120.9,10.2,23.41,0
Liberia,6.428055,9.429499,0,0,33.04,85.1,11.9,2.81,0
Libya,26.3351,17.228331,0,0,18.83,109,60.5,18.56,0
Liechtenstein,47.1410392,9.520935,0,0,9.9,104.7,35.6,0,0
Lithuania,55.169438,23.881275,0,0,10,103.9,72.4,6.35,0
Luxembourg,49.815273,6.129583,0,0,10.3,102.3,19.2,5.36,0
Madagascar,18.766947,46.869107,82,81,32.66,142.5,5.4,1.76,81.5
Malawi,13.254308,34.301525,0,0,34.12,142.5,0.8,5.65,0
Malaysia,4.210484,101.975766,97,97,16.75,105.3,45.1,3.32,97
Maldives,3.202778,73.22068,0,0,14.2,97.1,31.2,6.14,0
Mali,17.570692,3.996166,58,43,41.54,75.6,4.5,7.22,50.5
Malta,35.937496,14.375416,99,100,9.2,105,54.3,3.47,99.5
Marshall Islands,7.131474,171.184478,0,0,29.03,84.7,23.7,0,0
Mauritania,21.00789,10.940835,0,0,33.69,99.9,5,9.55,0
Mauritius,20.348404,57.552152,99,99,10.2,101.1,40.6,6.67,99
Mexico,23.634501,102.552784,99,99,17.6,105.8,40.2,3.42,99
Federated States of Micronesia,7.425554,150.550812,0,0,22.82,97.2,14.1,0,0
Monaco,43.7384176,7.4246158,0,0,5.9,0,0,0,0
Mongolia,46.862496,103.846656,98,99,24.13,104,65.6,6.01,98.5
Montenegro,42.708678,19.37439,99,99,11.73,100,56.1,14.88,99
Montserrat,16.742498,62.187366,0,0,0,0,0,0,0
Morocco,31.791702,7.09262,98,97,18.94,113.9,35.9,9.02,97.5
Mozambique,18.665695,35.529562,0,0,37.52,112.6,7.3,3.24,0
Myanmar,21.916221,95.955974,0,0,17.55,112.3,18.8,1.58,0
Namibia,22.95764,18.49041,94,96,28.64,124.2,22.9,20.27,95
Nauru,0.522778,166.931503,0,0,0,0,0,0,0
Nepal,28.394857,84.124008,94,91,19.89,142.1,12.4,1.41,92.5
Netherlands,52.132633,5.291266,0,0,9.7,104.2,85,3.2,0
New Zealand,40.900557,174.885971,0,0,11.98,100,82,4.07,0
Nicaragua,12.865416,85.207229,0,0,20.64,120.6,17.4,6.84,0
Niger,17.607789,8.081666,51,36,46.08,74.7,4.4,0.47,43.5
Nigeria,9.081999,8.675277,82,68,37.91,84.7,10.2,8.1,75
Niue,19.054445,169.867233,0,0,0,0,0,0,0
North Macedonia,41.608635,21.745275,0,0,0,0,0,0,0
Norway,60.472024,8.468946,0,0,10.4,100.3,82,3.35,0
Oman,21.4735329,55.975413,98,99,19.19,103.4,38,2.67,98.5
Pakistan,30.375321,69.345116,0,0,28.25,94.3,9,4.45,0
Palau,7.51498,134.58252,0,0,14,112.6,54.7,0,0
Panama,8.537981,80.782127,99,99,18.98,94.4,47.8,3.9,99
Papua New Guinea,6.314993,143.95555,0,0,27.07,108.5,1.8,2.46,0
Paraguay,23.442503,58.443832,98,99,20.57,104.4,34.6,4.81,98.5
Peru,9.189967,75.015152,99,99,17.95,106.9,70.7,3.31,99
Philippines,12.879721,121.774017,0,0,20.55,107.5,35.5,2.15,0
Poland,51.919438,19.145136,0,0,10.2,100,67.8,3.47,0
Portugal,39.399872,8.224454,100,100,8.5,106.2,63.9,6.33,100
Qatar,25.354826,51.183884,0,0,9.54,103.8,17.9,0.09,0
South Korea,35.907757,127.766922,0,0,6.4,98.1,94.3,4.15,0
Moldova,47.411631,28.369885,0,0,10.1,90.6,39.8,5.47,0
Romania,45.943161,24.96676,99,99,9.6,85.2,49.4,3.98,99
Russia,61.52401,105.318756,100,100,11.5,102.6,81.9,4.59,100
